,agent,address,beds,receptions,baths,post_code
1663,Countrywide Scotland - Burnside,"East Greenlees Gardens, Cambuslang, Glasgow, South Lanarkshire G72",2,1,1,G72
1664,Coulters Stockbridge,"28 Queen's Park Court, Willowbrae, Edinburgh EH8",2,1,1,EH8
1665,Countrywide Scotland - Kirkintilloch,"Lilybank Avenue, Muirhead, Glasgow, North Lanarkshire G69",3,2,1,G69
1666,Countrywide Scotland - Kirkintilloch,"Farm Wynd, Lenzie, Kirkintilloch, Glasgow G66",5,2,2,G66
1668,O'Malley Property,"Kirkhill Terrace, Tillicoultry FK13",2,1,1,FK13
1669,"Springbok Properties, Nationwide","Alltan Court, Culloden, Inverness, Inverness-Shire IV2",2,1,1,IV2
1670,Slater Hogg & Howison - East Kilbride Sales,"Lairhills Road, The Murray, East Kilbride, South Lanarkshire G75",3,1,1,G75
1673,Harper & Stone Estate and Letting Agents,"Benview, Blackfaulds Road, Benview FK10",4,3,2,FK10
1674,"Purplebricks, Head Office","Moorhill Crescent, Glasgow G77",3,1,1,G77
1676,"Purplebricks, Head Office","6 Arneil Drive, Edinburgh EH5",1,1,1,EH5
1677,Find My Buyer Ltd,"38 The Mall, Montrose DD10",4,2,2,DD10
1678,Remax Professionals,"Rosie Cottages, Main Road, East Wemyss, Kirkcaldy KY1",3,1,1,KY1
1679,Fred Estate Agents,"Melrose Road, Cumbernauld, Glasgow G67",3,1,2,G67
1680,Zing Property Specialists,"Bentfoot Road, Wishaw, Lanarkshire ML2",2,1,1,ML2
1681,Morgans,"44 Dover Park, Dunfermline KY11",4,2,2,KY11
1682,AB & A Matthews,"Hamilton Crescent, Kirkcowan DG8",2,1,1,DG8
1683,Clydebank Estate and Letting Agents,"Reelick Avenue, Glasgow G13",2,1,1,G13
1684,"Clyde Property, West End","Whittingehame Court, 3 Daventry Drive, Kelvindale, Glasgow G12",3,1,1,G12
1685,Donald Ross Estate Agents Ltd,"13 Hunter Drive, Irvine KA12",3,1,1,KA12
1686,Arran Estate Agents,"Fernbank, Shore Road, Whting Bay KA27",3,2,1,KA27
1687,Mccrae and Mccrae,"Middlebank Farmhouse, Errol, Perth PH2",5,3,3,PH2
1688,Robb Residential,"Braigh Mharr, South Deeside Road, Maryculter, Aberdeen AB12",3,2,3,AB12
1689,Thorntons Law LLP - Anstruther,"Castle Street, Crail, Fife KY10",3,1,1,KY10
1691,AB & A Matthews,"Braehead, Kirkinner, Newton Stewart DG8",2,1,1,DG8
1692,Residence,"Weavers Lane, Glassford, Strathaven ML10",3,2,3,ML10
1693,Allen & Harris - Burnside,"Arnprior Road, Croftfoot, Glasgow G45",2,1,1,G45
1695,Your Move - Dumfries,"East Road, Lowthertown, Annan DG12",2,1,1,DG12
1697,O'Malley Property,"High Street, Alloa FK10",1,1,1,FK10
