,agent,address,beds,receptions,baths,post_code
0,Countrywide Scotland - Shawlands Sales,"Parklands View, Glasgow G53",2,1,2,G53
1,VMH Solicitors,"Ravenscroft Gardens, Edinburgh EH17",3,1,1,EH17
3,Stuart and Stuart WS,"Harrison Road, Edinburgh EH11",1,1,1,EH11
4,Avenue Road Estate Agents,"7 Southhouse Crescent, Edinburgh EH17",3,2,2,EH17
5,Corrigall Black,"Fearnoch Mill, Kilfinan, Tighnabruaich PA21",3,2,2,PA21
6,DM Property,"Drum View Avenue, Danderhall, Dalkeith EH22",3,1,1,EH22
7,Yopa,"Cross Street, Broughty Ferry, Dundee DD5",2,1,1,DD5
8,Clancys Solicitors,"54 North Bughtlinside, Edinburgh EH12",1,1,1,EH12
10,Blair Cadell,"3/2 Buccleuch Street, Edinburgh EH8",2,1,1,EH8
11,Murray Beith Murray,"Jubilee Cottage, 2 Kingston Avenue, Liberton, Edinburgh EH16",1,1,1,EH16
12,Neilsons Solicitors & Estate Agents,"St Hildas, 81/2 Kirk Brae, Edinburgh EH16",2,1,1,EH16
13,Warners,"5 Lidgate Shot, Ratho, Newbridge EH28",3,1,2,EH28
14,Warners,"41 Kilburn Wood Drive, Roslin EH25",4,2,3,EH25
15,Warners,"12 Mckinlay Terrace, Loanhead EH20",2,1,1,EH20
16,Warners,"82/7 Inchview Terrace, Edinburgh EH7",3,1,2,EH7
17,Lindsays,"114/8, Crewe Road North, Crewe, Edinburgh EH5",3,1,2,EH5
18,Lindsays,"Lygon Road, Newington, Edinburgh EH16",4,3,2,EH16
19,Lindsays,"The Bield, High Street, Errol, Perth PH2",2,1,1,PH2
20,DM Property,"44/1 Temple Park Crescent, Polwarth, Edinburgh EH11",1,1,1,EH11
21,Warners,"28 Gogarloch Haugh, South Gyle, Edinburgh EH12",2,1,1,EH12
22,Clancys Solicitors,"80 The Paddockholm, Edinburgh EH12",2,1,1,EH12
23,Stuart and Stuart WS,"Royal Court, Penicuik EH26",3,2,1,EH26
24,Slater Hogg & Howison - Candleriggs Sales,"Upper Bell Street, Bell Street, Merchant City, Glasgow G4",2,1,2,G4
26,Warners,"28 Gogarloch Haugh, South Gyle, Edinburgh EH12",2,1,1,EH12
27,Countrywide Scotland - Shawlands Sales,"Parklands View, Glasgow G53",2,1,2,G53
28,DM Property,"Drum View Avenue, Danderhall, Dalkeith EH22",3,1,1,EH22
29,Stuart and Stuart WS,"Royal Court, Penicuik EH26",3,2,1,EH26
30,Clancys Solicitors,"54 North Bughtlinside, Edinburgh EH12",1,1,1,EH12
31,Neilsons Solicitors & Estate Agents,"St Hildas, 81/2 Kirk Brae, Edinburgh EH16",2,1,1,EH16
32,VMH Solicitors,"Ravenscroft Gardens, Edinburgh EH17",3,1,1,EH17
35,Stuart and Stuart WS,"Harrison Road, Edinburgh EH11",1,1,1,EH11
36,Corrigall Black,"Fearnoch Mill, Kilfinan, Tighnabruaich PA21",3,2,2,PA21
37,Avenue Road Estate Agents,"7 Southhouse Crescent, Edinburgh EH17",3,2,2,EH17
38,Warners,"5 Lidgate Shot, Ratho, Newbridge EH28",3,1,2,EH28
39,Yopa,"Cross Street, Broughty Ferry, Dundee DD5",2,1,1,DD5
40,Blair Cadell,"3/2 Buccleuch Street, Edinburgh EH8",2,1,1,EH8
41,Warners,"41 Kilburn Wood Drive, Roslin EH25",4,2,3,EH25
42,Warners,"82/7 Inchview Terrace, Edinburgh EH7",3,1,2,EH7
43,Lindsays,"The Bield, High Street, Errol, Perth PH2",2,1,1,PH2
44,Lindsays,"114/8, Crewe Road North, Crewe, Edinburgh EH5",3,1,2,EH5
45,Lindsays,"Lygon Road, Newington, Edinburgh EH16",4,3,2,EH16
46,Murray Beith Murray,"Jubilee Cottage, 2 Kingston Avenue, Liberton, Edinburgh EH16",1,1,1,EH16
47,Clancys Solicitors,"80 The Paddockholm, Edinburgh EH12",2,1,1,EH12
48,Warners,"12 Mckinlay Terrace, Loanhead EH20",2,1,1,EH20
49,DM Property,"44/1 Temple Park Crescent, Polwarth, Edinburgh EH11",1,1,1,EH11
50,Slater Hogg & Howison - Candleriggs Sales,"Upper Bell Street, Bell Street, Merchant City, Glasgow G4",2,1,2,G4
52,DM Property,"Drum View Avenue, Danderhall, Dalkeith EH22",3,1,1,EH22
53,Warners,"28 Gogarloch Haugh, South Gyle, Edinburgh EH12",2,1,1,EH12
54,Stuart and Stuart WS,"Harrison Road, Edinburgh EH11",1,1,1,EH11
55,Stuart and Stuart WS,"Royal Court, Penicuik EH26",3,2,1,EH26
56,Neilsons Solicitors & Estate Agents,"St Hildas, 81/2 Kirk Brae, Edinburgh EH16",2,1,1,EH16
57,Clancys Solicitors,"54 North Bughtlinside, Edinburgh EH12",1,1,1,EH12
58,VMH Solicitors,"Ravenscroft Gardens, Edinburgh EH17",3,1,1,EH17
59,Countrywide Scotland - Shawlands Sales,"Parklands View, Glasgow G53",2,1,2,G53
61,Corrigall Black,"Fearnoch Mill, Kilfinan, Tighnabruaich PA21",3,2,2,PA21
62,Murray Beith Murray,"Jubilee Cottage, 2 Kingston Avenue, Liberton, Edinburgh EH16",1,1,1,EH16
64,Avenue Road Estate Agents,"7 Southhouse Crescent, Edinburgh EH17",3,2,2,EH17
65,Yopa,"Cross Street, Broughty Ferry, Dundee DD5",2,1,1,DD5
66,Blair Cadell,"3/2 Buccleuch Street, Edinburgh EH8",2,1,1,EH8
67,Warners,"5 Lidgate Shot, Ratho, Newbridge EH28",3,1,2,EH28
68,Warners,"41 Kilburn Wood Drive, Roslin EH25",4,2,3,EH25
69,Warners,"12 Mckinlay Terrace, Loanhead EH20",2,1,1,EH20
70,Warners,"82/7 Inchview Terrace, Edinburgh EH7",3,1,2,EH7
71,Clancys Solicitors,"80 The Paddockholm, Edinburgh EH12",2,1,1,EH12
72,DM Property,"44/1 Temple Park Crescent, Polwarth, Edinburgh EH11",1,1,1,EH11
73,Lindsays,"Lygon Road, Newington, Edinburgh EH16",4,3,2,EH16
74,Lindsays,"114/8, Crewe Road North, Crewe, Edinburgh EH5",3,1,2,EH5
75,Lindsays,"The Bield, High Street, Errol, Perth PH2",2,1,1,PH2
76,Slater Hogg & Howison - Candleriggs Sales,"Upper Bell Street, Bell Street, Merchant City, Glasgow G4",2,1,2,G4
78,Countrywide Scotland - Shawlands Sales,"Parklands View, Glasgow G53",2,1,2,G53
79,Warners,"28 Gogarloch Haugh, South Gyle, Edinburgh EH12",2,1,1,EH12
80,Stuart and Stuart WS,"Royal Court, Penicuik EH26",3,2,1,EH26
81,Clancys Solicitors,"54 North Bughtlinside, Edinburgh EH12",1,1,1,EH12
82,Stuart and Stuart WS,"Harrison Road, Edinburgh EH11",1,1,1,EH11
83,VMH Solicitors,"Ravenscroft Gardens, Edinburgh EH17",3,1,1,EH17
84,Neilsons Solicitors & Estate Agents,"St Hildas, 81/2 Kirk Brae, Edinburgh EH16",2,1,1,EH16
85,DM Property,"Drum View Avenue, Danderhall, Dalkeith EH22",3,1,1,EH22
87,Yopa,"Cross Street, Broughty Ferry, Dundee DD5",2,1,1,DD5
89,Avenue Road Estate Agents,"7 Southhouse Crescent, Edinburgh EH17",3,2,2,EH17
90,Murray Beith Murray,"Jubilee Cottage, 2 Kingston Avenue, Liberton, Edinburgh EH16",1,1,1,EH16
91,Corrigall Black,"Fearnoch Mill, Kilfinan, Tighnabruaich PA21",3,2,2,PA21
92,Blair Cadell,"3/2 Buccleuch Street, Edinburgh EH8",2,1,1,EH8
93,Warners,"5 Lidgate Shot, Ratho, Newbridge EH28",3,1,2,EH28
94,Warners,"41 Kilburn Wood Drive, Roslin EH25",4,2,3,EH25
95,Warners,"82/7 Inchview Terrace, Edinburgh EH7",3,1,2,EH7
96,Lindsays,"Lygon Road, Newington, Edinburgh EH16",4,3,2,EH16
97,Lindsays,"114/8, Crewe Road North, Crewe, Edinburgh EH5",3,1,2,EH5
98,Clancys Solicitors,"80 The Paddockholm, Edinburgh EH12",2,1,1,EH12
99,Warners,"12 Mckinlay Terrace, Loanhead EH20",2,1,1,EH20
100,DM Property,"44/1 Temple Park Crescent, Polwarth, Edinburgh EH11",1,1,1,EH11
101,Lindsays,"The Bield, High Street, Errol, Perth PH2",2,1,1,PH2
102,"Springbok Properties, Nationwide","Rockburn Cresent, Bellshill, Lanarkshire ML4",2,1,1,ML4
103,Knight Frank - Edinburgh Sales,"Longniddry, East Lothian EH32",3,1,1,EH32
104,Knight Frank - Edinburgh Sales,"Longniddry, East Lothian EH32",2,1,1,EH32
106,Caledonia Bureau,"Langside Street, Faifley, West Dunbartonshire G81",3,1,1,G81
107,Caledonia Bureau,"Morrison Street, Duntocher, West Dunbartonshire G81",2,1,1,G81
109,O'Malley Property,"Galan, Alloa FK10",2,1,2,FK10
110,Knight Frank - Edinburgh Sales,"Longniddry, East Lothian EH32",3,1,1,EH32
111,Knight Frank - Edinburgh Sales,"Longniddry, East Lothian EH32",2,1,1,EH32
112,Peter Murphy & Co Estate Agents Ltd,"Castle Heather Crescent, Inverness IV2",2,1,1,IV2
113,Knight Frank - Edinburgh Sales,"Longniddry, East Lothian EH32",2,1,1,EH32
114,"Purplebricks, Head Office","Gt Weatern Rd, Glasgow G13",3,1,1,G13
115,"Purplebricks, Head Office","Gardner Crescent, Whitburn EH47",3,1,1,EH47
116,"Purplebricks, Head Office","St. Mungo Avenue, Glasgow G4",4,1,1,G4
117,Keller Williams,"Shiel Hall Crescent, Rosewell, Edinburgh EH24",4,1,3,EH24
118,Penny Lane Homes,"Sanderling Place, Johnstone PA5",3,1,1,PA5
119,Slater Hogg & Howison - Hamilton Sales,"Alford Avenue, Blantyre, Glasgow, South Lanarkshire G72",2,1,1,G72
120,Keller Williams,"Nicolson Street, Newington, Edinburgh EH8",2,1,1,EH8
121,"Purplebricks, Head Office","Perth Road, Dundee DD1",2,1,1,DD1
122,Slater Hogg & Howison - Cumbernauld,"Baldorran Crescent, Cumbernauld, Glasgow G68",1,1,1,G68
123,Yopa,"Carnethie Street, Rosewell EH24",2,1,1,EH24
127,Yopa,"Valleyfield Crescent, Ferniegair, Hamilton ML3",3,1,3,ML3
128,Knightbain Estate Agents Ltd,"Mallace Avenue, Armadale, Bathgate EH48",2,1,2,EH48
129,Your Move - Falkirk,"Stevenson Avenue, Polmont, Falkirk, Stirlingshire FK2",4,3,3,FK2
130,Village Estates,"Rowan Road, Cumbernauld G67",3,1,1,G67
131,Keepmoat Homes - Coatsbrae,"""The Blair"" at Linwood Road, Phoenix Retail Park, Paisley PA1",3,2,1,PA1
132,David Wilson Homes - Mallets Rise,"""Dalmally"" at Malletsheugh Road, Newton Mearns, Glasgow G77",4,2,2,G77
133,David Wilson Homes - DWH @ Heritage Grange,"""Falkland"" at Frogston Road East, Edinburgh EH17",4,2,3,EH17
134,Barratt Homes - Whiteland Coast,"""Abergeldie"" at Park Place, Newtonhill, Stonehaven AB39",3,2,2,AB39
135,Barratt Homes - Barratt @ St Clements Wells,"""Abergeldie"" at Auburn Locks, Wallyford, Musselburgh EH21",3,2,2,EH21
136,Yopa,"Beechgrove, Lockerbie DG11",3,2,2,DG11
137,Barratt Homes - Mayburn Walk,"""Abergeldie"" at Mayburn Walk, Loanhead EH20",3,2,2,EH20
138,Homes For You,"Longdales Avenue, Falkirk FK2",2,1,1,FK2
141,Yopa,"Baltic Street, Montrose DD10",1,1,1,DD10
142,"Purplebricks, Head Office","Annan Road, Dumfries DG1",4,1,1,DG1
143,The Estate Agency Company,"Thornwood Avenue, Glasgow G11",1,1,1,G11
144,RE/MAX Clydesdale & Tweeddale,"Covenanters Way, Biggar ML12",3,2,2,ML12
145,Harbor Property,"Akarit Road, Larbert FK5",3,1,1,FK5
146,JBM Estate Agents,"35 Jubilee Park, Peebles EH45",5,2,3,EH45
150,Knightbain Estate Agents Ltd,"Fairbrae, Edinburgh EH11",2,1,1,EH11
152,Greig Residential,"Riverside Crescent, Catrine, Mauchline KA5",2,1,1,KA5
153,Greig Residential,"Davaar Drive, Kilmarnock KA3",3,2,1,KA3
154,Greig Residential,"Kilmarnock Road, Crosshouse, Kilmarnock KA2",2,2,1,KA2
155,Delmor Estate Agents,"Happylands View, Lochgelly KY5",3,1,2,KY5
156,Greig Residential,"New Mill Road, Kilmarnock KA1",2,1,1,KA1
157,Delmor Ltd (Leven),"Landel Street, Markinch, Glenrothes KY7",1,1,1,KY7
158,Arthur & Simpson,"Mounthooly Street, Lerwick, Shetland ZE1",1,1,1,ZE1
159,National Property,"Dempster Street, Greenock, Inverclyde PA15",1,1,1,PA15
160,Mov8 Real Estate,"Sloan Street, Leith, Edinburgh EH6",1,1,1,EH6
162,Mov8 Real Estate,"Aberdour Road, Dunfermline KY11",5,2,3,KY11
163,"Purplebricks, Head Office","Beatlie Road, Winchburgh EH52",2,1,1,EH52
164,British Homesellers,"Bank Street, Brechin DD9",2,1,1,DD9
165,Miller Homes - Millerbank,"""Urquhart Mid"" at Kilbowie Road, Clydebank G81",3,1,1,G81
166,Miller Homes - Wallace Fields,"""Chattan"" at Dochart Grove, Glasgow G33",4,2,2,G33
167,Miller Homes - Highstonehall,"""Crawford"" at Brora Crescent, Hamilton ML3",3,2,2,ML3
168,Tailor Made Moves Ltd,"Time &amp; Tide, 28 High Street, Avoch IV9",3,1,3,IV9
169,Bidwells Perth Rural,"Merkland Farm, Bankhead, Dumfries DG1",3,1,1,DG1
170,McEwan Fraser Legal,"Main Street, Dunfermline, Fife KY12",2,1,1,KY12
171,Tailor Made Moves Ltd,"Daduse Tower Brae North, Westhill, Inverness. IV2",4,2,4,IV2
172,McEwan Fraser Legal,"School Wynd, Paisley PA1",1,1,1,PA1
173,McEwan Fraser Legal,"Bothwell Road, Aberdeen AB24",2,1,2,AB24
174,McEwan Fraser Legal,"Tower Wynd, The Shore, Edinburgh EH6",2,1,2,EH6
175,Yopa,"Rigghouse Road, Whitburn, Bathgate EH47",3,1,3,EH47
176,Yvonne Fitzgerald Properties,"Southend, Lybster KW3",4,3,4,KW3
179,McEwan Fraser Legal,"Hatters Lane, Broughton, Edinburgh EH7",2,1,2,EH7
187,Bidwells Perth Rural,Dumfries DG1,5,1,2,DG1
190,Bidwells Perth Rural,Dumfries DG1,5,1,2,DG1
192,"Purplebricks, Head Office","Goldpark Place, Livingston EH54",2,1,1,EH54
193,Green Door Property Auctions,"St Clair Road, Edinburgh EH6",2,1,1,EH6
195,Yopa,"Creemills Walk, Newton Stewart DG8",3,1,1,DG8
196,Aberdein Considine,"Majors Loan, Falkirk FK1",1,1,1,FK1
197,Yopa,"Mansfield Court, Scone, Perth PH2",2,1,1,PH2
198,Aberdein Considine,"1/3, Oswald Street, Glasgow G1",2,1,2,G1
200,Aberdein Considine,"Dicks Park, East Kilbride, Glasgow G75",2,1,1,G75
201,Aberdein Considine,"Noble Place, Edinburgh EH6",3,1,1,EH6
202,Countrywide Scotland - Glasgow West End Sales,"Great Western Road, Kelvinside, Glasgow G12",3,2,1,G12
203,Countrywide Scotland - Dennistoun,"Don Street, Riddrie, Glasgow, Lanarkshire G33",2,1,1,G33
204,Warners,"42/6 Millar Crescent, Morningside, Edinburgh EH10",1,1,1,EH10
205,Countrywide Scotland - Glasgow West End Sales,"Third Part Crescent, Yoker, Glasgow G13",3,2,2,G13
206,Aberdein Considine,"Laverockbank Grove, Edinburgh EH5",3,1,2,EH5
207,Countrywide Scotland - Burnside,"Upper Ell Gate, Cambuslang, Glasgow, South Lanarkshire G72",4,2,3,G72
208,Slater Hogg & Howison - Ayr Sales,"Cloverhill, Ayr KA7",2,3,1,KA7
209,Slater Hogg & Howison - Candleriggs Sales,"Riverview Place, Waterfront, Glasgow, Lanarkshire G5",2,1,1,G5
210,Slater Hogg & Howison - Candleriggs Sales,"Sauchiehall Street, City Centre, Glasgow, Lanarkshire G2",3,1,2,G2
211,Slater Hogg & Howison - Bearsden,"Corbie Place, Milngavie, Glasgow, East Dunbartonshire G62",2,1,1,G62
212,"Purplebricks, Head Office","Park Terrace, Alloa FK10",3,2,1,FK10
213,Slater Hogg & Howison - Candleriggs Sales,"The Matrix 112 Cowcaddens Road, Cowcaddens, Glasgow, Lanarkshire G4",3,1,1,G4
214,Slater Hogg & Howison - Paisley Sales,"Gateside Road, Barrhead, Glasgow, East Renfrewshire G78",4,3,2,G78
215,Pacitti Jones,"43 Scott Street, Stirling FK8",2,1,1,FK8
216,Your Move - Falkirk,"Waggon Road, Brightons, Falkirk, Stirlingshire FK2",1,2,1,FK2
217,Smart Moves Estate Agency,"Lochindorb Drive, Inverness IV2",4,1,3,IV2
218,Allen & Harris - Bridge Of Weir,"George Street, Howwood, Johnstone PA9",1,1,1,PA9
220,"Purplebricks, Head Office","261 Springburn Road, Glasgow G21",2,1,1,G21
221,"Allen & Harris - Clarkston, Glasgow","Strathnairn Way, Hairmyres, Glasgow G75",5,2,3,G75
222,Igloo,"Allanton Lea, Hamilton ML3",3,1,1,ML3
223,Allen & Harris - Stirling,"Forth Street, Stirling FK8",3,1,1,FK8
224,"Purplebricks, Head Office","Stanmore Place, Leven KY8",1,1,1,KY8
225,"Purplebricks, Head Office","Buchanan Crescent, Livingston EH54",4,2,1,EH54
226,Boom,"Grant Street, Greenock PA15",2,1,2,PA15
228,Boom,"Brownhill Drive, Kilbirnie KA25",2,1,1,KA25
229,Boom,"Hawkhill Drive, Stevenston KA20",4,2,3,KA20
230,Boom,"Bellmans Close, Beith KA15",2,1,1,KA15
232,Igloo,"Braemar Gardens, Torrance Park, Newarthill ML1",4,2,4,ML1
233,Knightbain Estate Agents Ltd,"Miller Street, Winchburgh, Broxburn EH52",3,2,2,EH52
234,Allen & Harris - Shawlands,"Paisley Road West, Govan, Glasgow G51",1,1,1,G51
235,Boom,"Linnwell Crescent, Paisley PA2",3,1,1,PA2
236,Igloo,"Glencairn Avenue, Wishaw ML2",3,1,1,ML2
238,Igloo,"Mcgowan Place, Hamilton ML3",3,3,2,ML3
242,Bidwells Perth Rural,"Lot 1 - Merkland Farm, Bankhead, Dumfries DG1",3,1,1,DG1
244,Countrywide Scotland - Shawlands Sales,"Cleeves Road, Glasgow G53",2,1,1,G53
246,Tyne & Tweed Estate Agents - Berwick upon Tweed,"Beach Avenue, Eyemouth TD14",2,1,1,TD14
248,McQueen Legal,"45/3 Dumbryden Gardens, Edinburgh EH14",1,1,1,EH14
249,"Purplebricks, Head Office","Tweed Street, Leven KY8",2,1,1,KY8
250,Paul Fox Properties,"Liberty Road, Bellshill ML4",3,1,1,ML4
251,Cochran Dickie (Paisley),"222 Braidcraft Road, Glasgow G53",4,1,1,G53
252,Cochran Dickie,"2 Novar, Harvey Square, Lochwinnoch PA12",2,1,1,PA12
254,Igloo,"Copperwood Court, Hamilton ML3",2,1,1,ML3
255,Pacitti Jones,"59 Beardmore Cottages, Old Greenock Road, Inchinnan PA4",2,1,1,PA4
256,K Allan Properties,"Rosebank, St. Ola, Kirkwall KW15",3,2,2,KW15
257,Slater Hogg & Howison - Stirling Sales,"Whiteyetts Crescent, Sauchie, Alloa, Clackmannanshire FK10",3,1,3,FK10
258,Slater Hogg & Howison - Paisley Sales,"Oakshaw Street East, Paisley, Renfrewshire PA1",2,1,1,PA1
259,Scottish Property Centre,"Ladywell Road, Motherwell, North Lanarkshire ML1",2,1,1,ML1
260,Clydebank Estate and Letting Agents,"Dumbarton Road, Duntocher, Clydebank G81",3,1,1,G81
261,Slater Hogg & Howison - Stirling Sales,"Coxithill Road, Stirling, Stirlingshire FK7",3,2,1,FK7
262,Donald Ross Estate Agents Ltd,"Carcluie Crescent, Ayr KA7",4,2,1,KA7
263,"Purplebricks, Head Office","Chirnside Road, Glasgow G52",3,1,1,G52
264,Yopa,"Castle Douglas Road, Dumfries DG2",3,2,2,DG2
265,O'Malley Property,"Upper Mill Street, Tillicoultry FK13",3,1,1,FK13
266,On The Move,"Crichton Street, Coatbridge ML5",2,1,1,ML5
267,Miller Homes - Highstonehall,"""Hunter"" at Brora Crescent, Hamilton ML3",4,2,2,ML3
268,Miller Homes - Evergreen Manor,"""Fulton Semi"" at Irvine Road, Kilmaurs, Kilmarnock KA3",3,2,2,KA3
269,Zing Property Specialists,"Bankhead Road, Glasgow G73",2,1,1,G73
270,AB & A Matthews,"2 Cartha Place, Dumfries DG1",4,2,2,DG1
271,Your Move - Dumfries,"Cartha Place, Dumfries DG1",2,1,1,DG1
272,Robb Residential,Tighnabruaich PA21,5,3,2,PA21
273,Tip Top Estate Agents,"Whitevale Street, Dennistoun, Glasgow G31",1,1,1,G31
274,Donald Ross Estate Agents Ltd,"26 John Parker Avenue, Irvine KA11",4,1,2,KA11
275,Allen & Harris - Dumbarton,"Inchlonaig Drive, Balloch, Alexandria G83",3,2,2,G83
276,Allen & Harris - Stirling,"West Johnstone Street, Alva FK12",1,1,1,FK12
277,Purdie and Co,"Back Dean, Ravelston, Edinburgh EH4",4,2,3,EH4
278,Yopa,"Seagate, Arbroath DD11",3,1,1,DD11
279,Gillespie Gifford and Brown,"Jenuce, Meikle Richorn, Dalbeattie DG5",3,2,2,DG5
280,Robb Residential,"Ayr Road, Giffnock, Glasgow G46",3,3,2,G46
281,Premier Properties Perth,"Kestrel Way, Perth PH1",3,1,1,PH1
282,Murray Beith Murray,"52/6 Newbattle Terrace, Morningside, Edinburgh EH10",2,1,2,EH10
283,Bensons Estate Agents,"Kirktonholme Crescent, East Kilbride, Glasgow G74",3,1,2,G74
284,New Door,"Fisher Way, Paisley PA1",3,2,2,PA1
285,Neilsons Solicitors & Estate Agents,"9/3 Broomhouse Wynd, Edinburgh EH11",3,1,1,EH11
286,McCash & Hunter,"Spoutwells Drive, Scone PH2",3,2,1,PH2
287,Countrywide Scotland - Clarkston,"Clarkston Road, Muirend, Glasgow G44",2,1,1,G44
288,Pacitti Jones,"67 Lanrig Road, Chryston G69",3,1,1,G69
289,Yopa,"Aspen Road, Edinburgh EH16",4,1,3,EH16
290,Pacitti Jones,"42 Southesk Avenue, Bishopbriggs G64",3,2,1,G64
291,Countrywide Scotland - Paisley,"George Street, Paisley, Renfrewshire PA1",3,1,1,PA1
292,Countrywide Scotland - Baillieston,"Fauldspark Crescent, Swinton, Glasgow G69",3,2,1,G69
293,"Clyde Property, Perth","Park Place, Craigie, Perth PH2",2,1,1,PH2
294,Countrywide Scotland - Baillieston,"Carmyle Avenue, Glasgow, Lanarkshire G32",3,1,1,G32
296,Yopa,"Sempie Street, Hamilton ML3",2,1,1,ML3
299,Yopa,"Blackie Street, Glasgow G3",2,1,1,G3
300,Donald Ross Estate Agents Ltd,"18 Kyle Crescent, Coylton KA6",2,1,1,KA6
305,On The Move,"Kelburn Grove, Airdrie ML6",4,2,3,ML6
306,Abbey Forth Sales and Lettings,"88 Main Street, Newmills, Dunfermline KY12",1,1,1,KY12
307,Robb Residential,Cairndow PA26,3,1,2,PA26
310,Paul Rolfe Sales & Lettings,"9 Crosshill Drive, Bo'ness EH51",3,1,2,EH51
311,Beveridge Philp and Ross,"The Brae, Auchendinny EH26",3,1,1,EH26
312,Brian Harkins Estate Agents,"Muirdykes Avenue, Port Glasgow PA14",3,1,2,PA14
313,Gibson Estate Agents,"Broomyknowe Drive, Deans, Livingston EH54",3,1,1,EH54
314,"Your Move - McLaughlin, Bellshill","Burnside Road, Motherwell ML1",4,2,1,ML1
315,Regents Estates and Mortgages,"Wayfarers Drive, Dalgety Bay, Dunfermline KY11",2,1,1,KY11
316,Morgans,"11 Pitreavie Castle, Castle Drive, Dunfermline KY11",2,1,1,KY11
317,Next Home Estate Agents,"Stirling Street, Blackford, Auchterarder PH4",2,1,1,PH4
319,Morton Napier,"Hazel Avenue, Kirkcaldy KY2",2,1,1,KY2
320,Remax Property,"Baron's Hill Avenue, Linlithgow EH49",3,1,1,EH49
321,T Duncan & Co,"Rossie Terrace, Ferryden, Montrose DD10",1,1,1,DD10
324,Home Connexions,"Manse Road, Neilston, Glasgow G78",4,1,2,G78
325,Neilsons Solicitors & Estate Agents,"19 Saughton Crescent, Edinburgh EH12",1,1,1,EH12
326,Your Move - Kirkcaldy,"Victoria Road, Kirkcaldy, Fife KY1",4,3,2,KY1
327,Neilsons Solicitors & Estate Agents,"33 North Bughtlinside, Edinburgh EH12",2,2,1,EH12
328,Maloco & Associates,"Hawthorn Bank, Carnock KY12",4,2,2,KY12
329,Neilsons Solicitors & Estate Agents,"21 Craigs Crescent, Edinburgh EH12",3,2,1,EH12
330,Highland Residential,"Bynack More, High Burnside, Aviemore PH22",2,1,1,PH22
331,WESTGATE,"Locksley Avenue, Knightswood, Glasgow G13",2,2,1,G13
332,Remax Property Marketing,"Wedderburn Crescent, Dunfermline KY11",3,1,1,KY11
333,McDougall McQueen,"12 Arbuthnot Road, Loanhead EH20",1,1,1,EH20
334,Hemmings Homes,"Camp Road, Motherwell ML1",5,2,3,ML1
335,McDougall McQueen,"1 Burnside Crescent, Dalkeith EH22",1,1,1,EH22
336,Pacitti Jones,"133 Corkerhill Road, Mosspark, Glasgow G52",3,1,1,G52
338,"Clyde Property, Perth","Ptak Way, Bridge Of Earn, Perthshire PH2",4,2,4,PH2
340,MQ Estate Agents & Lettings,"Langlands Road, Govan, Glasgow G51",2,1,1,G51
341,Cluny Estate Agents,"Cawdor Avenue, Elgin IV30",3,1,2,IV30
343,Next Home Estate Agents,"Ruthven Park, Auchterarder PH3",2,1,1,PH3
344,Fineholm,"Ballindalloch Drive, Dennistoun, Glasgow G31",2,1,1,G31
346,Kirkland Estate Agents,"Heatheryknowe Road, Baillieston, Glasgow G69",3,2,2,G69
347,Donald Ross Estate Agents Ltd,"34 Fullarton Street, Kilmarnock KA1",1,1,1,KA1
348,Keller Williams Evolve,"Grougar Drive, Beansburn, Kilmarnock KA3",4,1,2,KA3
349,Allen & Harris - Burnside,"Croftend Avenue, Croftfoot, Glasgow G44",3,1,1,G44
350,Warners,"70/3 Marchmont Crescent, Marchmont, Edinburgh EH9",2,1,1,EH9
351,Slater Hogg & Howison - Candleriggs Sales,"Upper Bell Street, Bell Street, Merchant City, Glasgow G4",2,1,2,G4
352,Warners,"9 (3F2), Marchmont Street, Marchmont, Edinburgh EH9",4,1,2,F2
353,Stuart and Stuart WS,"Ramillies Court, Penicuik EH26",3,2,3,EH26
355,Slater Hogg & Howison - Bearsden,"Wood Place, Blanefield, Glasgow, Stirlingshire G63",1,1,1,G63
356,Slater Hogg & Howison - Glenrothes,"Haddington Crescent, Glenrothes, Fife KY6",2,1,1,KY6
360,Joyce Heeps Homes LTD,"Inch Murrin, St Leonards, East Kilbride G74",4,3,2,G74
361,First For Homes,"Rosabelle Street, Kirkcaldy KY1",2,1,1,KY1
364,Countrywide Scotland - Shawlands Sales,"Croftwood View, Machrie Road G45",3,2,3,G45
365,Yvonne Fitzgerald Properties,Halkirk KW12,4,3,2,KW12
366,Slater Hogg & Howison - Glenrothes,"Queen Street, Freuchie, Cupar, Fife KY15",3,1,1,KY15
367,Countrywide Scotland - Shawlands Sales,"Croftwood View, Machrie Road G45",2,1,2,G45
368,Countrywide Scotland - Shawlands Sales,"Croftwood View, Machrie Road G45",2,1,2,G45
369,Countrywide Scotland - Paisley,"Buchlyvie Road, Paisley PA1",3,1,1,PA1
370,Joyce Heeps Homes LTD,"Inch Murrin, St Leonards, East Kilbride G74",4,3,2,G74
371,Remax Property Marketing,"Rose Street, Dunfermline KY12",3,2,2,KY12
372,Stonefield Estate Agents,"Arnprior Place, Alloway, Ayr KA7",4,3,3,KA7
373,Anderson Shaw & Gilbert,"The Old Shop, Stirling Drive, Garve IV23",3,1,1,IV23
374,Verdala,"Waulkmill, Letham Grange, Arbroath DD11",5,3,4,DD11
375,Donald Ross Estate Agents Ltd,"1 Shieling Park, Racecourse Road, Ayr KA7",2,2,2,KA7
