agent,price,address,beds,baths,receptions
Knight Frank - Edinburgh Sales,"£225,000","Longniddry, East Lothian EH32",2 beds,1 bath,1 reception
Knight Frank - Edinburgh Sales,"£2,200,000","Longniddry, East Lothian EH32",,,
Caledonia Bureau,"£59,995","Langside Street, Faifley, West Dunbartonshire G81",3 beds,1 bath,1 reception
Caledonia Bureau,"£82,000","Morrison Street, Duntocher, West Dunbartonshire G81",2 beds,1 bath,1 reception
Knight Frank - Edinburgh Sales,"£3,500,000","Longniddry, East Lothian EH32",,,
O'Malley Property,"£134,995","Galan, Alloa FK10",2 beds,2 baths,1 reception
Knight Frank - Edinburgh Sales,"£365,000","Longniddry, East Lothian EH32",3 beds,1 bath,1 reception
Knight Frank - Edinburgh Sales,"£215,000","Longniddry, East Lothian EH32",2 beds,1 bath,1 reception
Peter Murphy & Co Estate Agents Ltd,"£185,000","Castle Heather Crescent, Inverness IV2",2 beds,1 bath,1 reception
Knight Frank - Edinburgh Sales,"£225,000","Longniddry, East Lothian EH32",2 beds,1 bath,1 reception
"Purplebricks, Head Office","£150,000","Gt Weatern Rd, Glasgow G13",3 beds,1 bath,1 reception
"Purplebricks, Head Office","£120,000","Gardner Crescent, Whitburn EH47",3 beds,1 bath,1 reception
"Purplebricks, Head Office","£150,000","St. Mungo Avenue, Glasgow G4",4 beds,1 bath,1 reception
Keller Williams,"£360,000","Shiel Hall Crescent, Rosewell, Edinburgh EH24",4 beds,3 baths,1 reception
Penny Lane Homes,"£102,500","Sanderling Place, Johnstone PA5",3 beds,1 bath,1 reception
Slater Hogg & Howison - Hamilton Sales,"£130,000","Alford Avenue, Blantyre, Glasgow, South Lanarkshire G72",2 beds,1 bath,1 reception
Keller Williams,"£245,000","Nicolson Street, Newington, Edinburgh EH8",2 beds,1 bath,1 reception
"Purplebricks, Head Office","£170,000","Perth Road, Dundee DD1",2 beds,1 bath,1 reception
Slater Hogg & Howison - Cumbernauld,"£115,000","Baldorran Crescent, Cumbernauld, Glasgow G68",1 bed,1 bath,1 reception
Yopa,"£240,000","Carnethie Street, Rosewell EH24",2 beds,1 bath,1 reception
Cala Homes - Prince's Quay,"£241,995","""Orr"" at Maclean Square, Govan, Glasgow G51",2 beds,,
Keller Williams,"£350,000","Development Land, The Douglas Hotel, Brodick, Isle Of Arran, North Ayrshire KA27",,,
Cala Homes - Prince's Quay,"£239,995","""Delftfield"" at Maclean Square, Govan, Glasgow G51",2 beds,,
Yopa,"£185,000","Valleyfield Crescent, Ferniegair, Hamilton ML3",3 beds,3 baths,1 reception
Knightbain Estate Agents Ltd,"£143,500","Mallace Avenue, Armadale, Bathgate EH48",2 beds,2 baths,1 reception
Your Move - Falkirk,"£310,000","Stevenson Avenue, Polmont, Falkirk, Stirlingshire FK2",4 beds,3 baths,3 receptions
Village Estates,"£42,500","Rowan Road, Cumbernauld G67",3 beds,1 bath,1 reception
Keepmoat Homes - Coatsbrae,"£202,500","""The Blair"" at Linwood Road, Phoenix Retail Park, Paisley PA1",3 beds,1 bath,2 receptions
David Wilson Homes - Mallets Rise,"£409,995","""Dalmally"" at Malletsheugh Road, Newton Mearns, Glasgow G77",4 beds,2 baths,2 receptions
David Wilson Homes - DWH @ Heritage Grange,"£464,995","""Falkland"" at Frogston Road East, Edinburgh EH17",4 beds,3 baths,2 receptions
Barratt Homes - Whiteland Coast,"£244,995","""Abergeldie"" at Park Place, Newtonhill, Stonehaven AB39",3 beds,2 baths,2 receptions
Barratt Homes - Barratt @ St Clements Wells,"£264,995","""Abergeldie"" at Auburn Locks, Wallyford, Musselburgh EH21",3 beds,2 baths,2 receptions
Yopa,"£235,000","Beechgrove, Lockerbie DG11",3 beds,2 baths,2 receptions
Barratt Homes - Mayburn Walk,"£276,995","""Abergeldie"" at Mayburn Walk, Loanhead EH20",3 beds,2 baths,2 receptions
Homes For You,"£79,995","Longdales Avenue, Falkirk FK2",2 beds,1 bath,1 reception
Hastings and Co - Borders Property and Legal,"£550,000","Newtown Street, Duns TD11",6 beds,4 baths,3 receptions
Welcome Homes Ayrshire,"£84,000","Wallace Avenue, Stevenston KA20",3 beds,1 bath,
Yopa,"£70,000","Baltic Street, Montrose DD10",1 bed,1 bath,1 reception
"Purplebricks, Head Office","£110,000","Annan Road, Dumfries DG1",4 beds,1 bath,1 reception
The Estate Agency Company,"£99,000","Thornwood Avenue, Glasgow G11",1 bed,1 bath,1 reception
RE/MAX Clydesdale & Tweeddale,"£260,000","Covenanters Way, Biggar ML12",3 beds,2 baths,2 receptions
Harbor Property,"£135,000","Akarit Road, Larbert FK5",3 beds,1 bath,1 reception
JBM Estate Agents,"£530,000","35 Jubilee Park, Peebles EH45",5 beds,3 baths,2 receptions
Deans Solicitors and Estate Agents LLP,"£385,000","76/1 Findhorn Place, Grange EH9",3 beds,,
Bidwells Perth Rural,"£220,000","Kirriemuir Road, Forfar DD8",,,
Bidwells Perth Rural,"£475,000","The Southwick Station Woodlands, Dalbeattie, Dumfries And Galloway DG5",,,
Knightbain Estate Agents Ltd,"£163,000","Fairbrae, Edinburgh EH11",2 beds,1 bath,1 reception
Deans Solicitors and Estate Agents LLP,"£195,000","10/9 Liberton Place, Liberton EH16",2 beds,,
Greig Residential,"£37,500","Riverside Crescent, Catrine, Mauchline KA5",2 beds,1 bath,1 reception
Greig Residential,"£119,995","Davaar Drive, Kilmarnock KA3",3 beds,1 bath,2 receptions
Greig Residential,"£115,000","Kilmarnock Road, Crosshouse, Kilmarnock KA2",2 beds,1 bath,2 receptions
Delmor Estate Agents,"£199,950","Happylands View, Lochgelly KY5",3 beds,2 baths,1 reception
